
900803584 bytes (901 MB, 859 MiB) copied, 87 s, 10.4 MB/s
911001600 bytes (911 MB, 869 MiB) copied, 88 s, 10.4 MB/s
921600512 bytes (922 MB, 879 MiB) copied, 89 s, 10.4 MB/s
931663360 bytes (932 MB, 889 MiB) copied, 90 s, 10.4 MB/s
942697472 bytes (943 MB, 899 MiB) copied, 91 s, 10.4 MB/s
953057792 bytes (953 MB, 909 MiB) copied, 92 s, 10.4 MB/s
963880448 bytes (964 MB, 919 MiB) copied, 93 s, 10.4 MB/s
974438912 bytes (974 MB, 929 MiB) copied, 94 s, 10.4 MB/s
985061888 bytes (985 MB, 939 MiB) copied, 95 s, 10.4 MB/s
995384320 bytes (995 MB, 949 MiB) copied, 96 s, 10.4 MB/s
1005869056 bytes (1.0 GB, 959 MiB) copied, 97 s, 10.4 MB/s
1016819712 bytes (1.0 GB, 970 MiB) copied, 98 s, 10.4 MB/s
1027277312 bytes (1.0 GB, 980 MiB) copied, 99 s, 10.4 MB/s
1036371456 bytes (1.0 GB, 988 MiB) copied, 100 s, 10.4 MB/s
1046699008 bytes (1.0 GB, 998 MiB) copied, 101 s, 10.4 MB/s
1057260032 bytes (1.1 GB, 1008 MiB) copied, 102 s, 10.4 MB/s
1067702784 bytes (1.1 GB, 1018 MiB) copied, 103 s, 10.4 MB/s
1077923328 bytes (1.1 GB, 1.0 GiB) copied, 104 s, 10.4 MB/s 
1088517632 bytes (1.1 GB, 1.0 GiB) copied, 105 s, 10.4 MB/s
1098697216 bytes (1.1 GB, 1.0 GiB) copied, 106 s, 10.4 MB/s
1109487104 bytes (1.1 GB, 1.0 GiB) copied, 107 s, 10.4 MB/s
1119815168 bytes (1.1 GB, 1.0 GiB) copied, 108 s, 10.4 MB/s
1130004992 bytes (1.1 GB, 1.1 GiB) copied, 109 s, 10.4 MB/s
1139835392 bytes (1.1 GB, 1.1 GiB) copied, 110 s, 10.4 MB/s
1149291008 bytes (1.1 GB, 1.1 GiB) copied, 111 s, 10.4 MB/s
1159709696 bytes (1.2 GB, 1.1 GiB) copied, 112 s, 10.4 MB/s
1169572352 bytes (1.2 GB, 1.1 GiB) copied, 113 s, 10.3 MB/s
1180269056 bytes (1.2 GB, 1.1 GiB) copied, 114 s, 10.4 MB/s
1190866432 bytes (1.2 GB, 1.1 GiB) copied, 115 s, 10.4 MB/s
1201266688 bytes (1.2 GB, 1.1 GiB) copied, 116 s, 10.4 MB/s
1211351552 bytes (1.2 GB, 1.1 GiB) copied, 117 s, 10.4 MB/s
1221330944 bytes (1.2 GB, 1.1 GiB) copied, 118 s, 10.4 MB/s
1232129536 bytes (1.2 GB, 1.1 GiB) copied, 119 s, 10.4 MB/s
1242087936 bytes (1.2 GB, 1.2 GiB) copied, 120 s, 10.4 MB/s
1252727808 bytes (1.3 GB, 1.2 GiB) copied, 121 s, 10.4 MB/s
1263615488 bytes (1.3 GB, 1.2 GiB) copied, 122 s, 10.4 MB/s
1274464768 bytes (1.3 GB, 1.2 GiB) copied, 123 s, 10.4 MB/s
1285560832 bytes (1.3 GB, 1.2 GiB) copied, 124 s, 10.4 MB/s
1295892992 bytes (1.3 GB, 1.2 GiB) copied, 125 s, 10.4 MB/s
1306214912 bytes (1.3 GB, 1.2 GiB) copied, 126 s, 10.4 MB/s
1315799552 bytes (1.3 GB, 1.2 GiB) copied, 127 s, 10.4 MB/s
1326248448 bytes (1.3 GB, 1.2 GiB) copied, 128 s, 10.4 MB/s
1336689152 bytes (1.3 GB, 1.2 GiB) copied, 129 s, 10.4 MB/s
1346765312 bytes (1.3 GB, 1.3 GiB) copied, 130 s, 10.4 MB/s
1357772800 bytes (1.4 GB, 1.3 GiB) copied, 131 s, 10.4 MB/s
1368146432 bytes (1.4 GB, 1.3 GiB) copied, 132 s, 10.4 MB/s
1378633216 bytes (1.4 GB, 1.3 GiB) copied, 133 s, 10.4 MB/s
1389495808 bytes (1.4 GB, 1.3 GiB) copied, 134 s, 10.4 MB/s
1400313856 bytes (1.4 GB, 1.3 GiB) copied, 135 s, 10.4 MB/s
1410924544 bytes (1.4 GB, 1.3 GiB) copied, 136 s, 10.4 MB/s
1421713920 bytes (1.4 GB, 1.3 GiB) copied, 137 s, 10.4 MB/s
1431552512 bytes (1.4 GB, 1.3 GiB) copied, 138 s, 10.4 MB/s
1442145280 bytes (1.4 GB, 1.3 GiB) copied, 139 s, 10.4 MB/s
1451961856 bytes (1.5 GB, 1.4 GiB) copied, 140 s, 10.4 MB/s
1462764032 bytes (1.5 GB, 1.4 GiB) copied, 141 s, 10.4 MB/s
1473577472 bytes (1.5 GB, 1.4 GiB) copied, 142 s, 10.4 MB/s
1483551232 bytes (1.5 GB, 1.4 GiB) copied, 143 s, 10.4 MB/s
1494466560 bytes (1.5 GB, 1.4 GiB) copied, 144 s, 10.4 MB/s
1504915968 bytes (1.5 GB, 1.4 GiB) copied, 145 s, 10.4 MB/s
1515110912 bytes (1.5 GB, 1.4 GiB) copied, 146 s, 10.4 MB/s
1525307904 bytes (1.5 GB, 1.4 GiB) copied, 147 s, 10.4 MB/s
